R O Y G B B W label=FlagArea1=NorthAmerica;2=SouthAmerica;3=Africa;4=Australia+Oceania;5=Asia;6=Europe
1 0 0 0 0 0 1 1
1 0 0 0 1 0 1 1
1 0 0 1 0 0 1 1
1 0 1 0 1 0 1 1
1 0 0 1 1 0 1 1
0 0 0 0 1 0 1 1
0 0 0 1 1 0 1 1
0 0 0 0 1 0 1 1
0 0 0 1 1 9 1 1
1 0 0 0 1 0 1 1
1 0 1 0 1 0 1 1
0 0 1 0 1 1 0 1
0 0 1 0 1 0 0 1
1 0 0 0 1 0 1 1
1 0 1 1 0 1 1 1
1 0 0 0 1 0 1 1
1 0 1 1 0 0 0 1
1 0 0 1 1 0 1 1
0 0 1 1 0 1 0 1
1 0 1 1 0 1 1 1
0 0 1 0 1 0 1 1
0 0 1 1 1 0 0 1
1 0 0 0 0 1 1 1

1 0 1 0 1 0 0 2
1 0 1 1 0 1 1 2
1 0 1 1 0 0 1 2
1 0 1 0 1 0 1 2
1 0 1 1 0 0 0 2
1 0 1 0 1 0 0 2
1 0 0 1 1 0 1 2
0 0 1 1 1 0 1 2
0 0 1 0 1 0 1 2
0 0 1 0 1 0 1 2
1 0 0 0 1 0 1 2
1 0 0 0 1 0 1 2

1 0 0 1 0 0 1 3
1 0 0 1 0 1 1 3
1 0 0 1 0 0 0 3
1 0 0 0 0 0 1 3
1 0 0 1 0 0 1 3
1 0 0 1 1 0 1 3
1 0 1 0 0 1 1 3
1 0 1 1 1 0 0 3
1 0 1 1 1 0 0 3
1 0 0 1 0 1 1 3
0 0 1 1 1 0 0 3
0 0 0 0 1 0 1 3
1 0 1 1 1 1 1 3
1 0 0 1 0 1 1 3
0 0 1 1 1 1 0 3
1 0 1 0 0 1 1 3
1 0 1 1 0 0 0 3
1 0 1 1 0 0 0 3
1 0 1 0 1 0 1 3
0 1 0 1 0 0 1 3
1 0 0 1 1 0 1 3
1 0 1 1 0 1 0 3
1 0 1 1 0 0 0 3
1 0 1 1 0 1 0 3
1 0 0 0 1 0 1 3
1 0 1 1 0 0 0 3
0 0 1 1 0 0 0 3
0 1 0 1 0 0 1 3
0 0 0 1 0 0 1 3
1 0 1 1 0 0 0 3
0 0 0 1 1 0 1 3
1 0 1 1 0 0 0 3
1 0 1 1 0 0 0 3
1 0 1 1 1 0 1 3
1 0 1 0 1 0 0 3
1 0 1 1 0 0 0 3
1 0 1 0 1 0 0 3
1 0 0 1 1 0 1 3
0 0 1 1 1 0 0 3
1 0 1 1 0 1 0 3
1 0 1 0 0 1 0 3
0 0 0 0 1 1 1 3
1 0 1 1 1 0 1 3
0 0 0 1 0 1 1 3
1 0 0 1 0 0 1 3
1 0 0 1 0 1 0 3
1 0 1 1 1 0 0 3
1 0 1 1 0 1 1 3
1 0 1 1 1 0 1 3
1 0 1 1 1 0 1 3
1 0 1 1 1 1 1 3
1 0 1 0 1 1 1 3
1 1 0 1 0 1 0 3
1 0 1 1 0 1 1 3

1 0 0 0 1 0 1 4
1 0 1 0 1 0 1 4
0 1 0 0 1 0 1 4
0 0 0 0 1 0 1 4
0 0 1 0 1 0 1 4
0 0 1 0 1 0 0 4
1 0 1 0 0 1 1 4
1 0 0 0 1 0 1 4
0 0 1 1 1 0 1 4
1 0 0 0 0 0 1 4
1 0 1 0 1 0 1 4
1 0 1 1 0 1 0 4
1 0 0 0 1 0 1 4
1 0 0 0 1 0 1 4

1 0 1 0 1 0 0 5
1 1 0 0 1 0 0 5
1 0 0 1 1 0 1 5
1 0 0 0 0 0 1 5
1 0 0 0 0 0 1 5
0 0 0 0 1 0 1 5
1 0 0 1 0 1 1 5
1 0 0 1 0 0 1 5
1 0 0 1 0 1 1 5
1 0 0 0 0 0 1 5
1 0 0 1 0 0 1 5
1 0 0 1 0 1 1 5
1 0 0 1 0 1 1 5
1 0 1 1 0 0 1 5
1 0 0 0 0 0 1 5
0 0 0 1 0 0 1 5
1 0 0 1 0 1 1 5
1 0 0 0 0 1 1 5
1 0 1 1 0 1 0 5
1 0 1 0 0 0 0 5
1 0 1 1 0 0 1 5
1 0 0 1 0 0 1 5
1 0 0 1 1 0 1 5
1 0 1 0 0 0 0 5
1 0 1 0 1 0 0 5
1 0 0 0 1 0 1 5
1 0 0 0 1 1 1 5
1 0 0 0 1 0 1 5
1 0 0 0 0 0 1 5
0 1 0 1 1 0 1 5
1 1 1 1 0 0 0 5
1 0 0 1 0 0 1 5
0 0 0 0 1 0 1 5
1 0 0 1 0 0 0 5
0 1 1 0 0 1 1 5
1 0 0 0 1 0 1 5
1 0 0 0 1 0 1 5
1 0 0 0 1 0 1 5
1 0 1 1 0 0 1 5
1 0 0 0 1 0 1 5
1 0 1 0 0 0 0 5
1 0 1 0 0 1 1 5
1 0 1 0 0 1 0 5
1 0 0 0 0 0 1 5
1 0 1 0 1 0 1 5
1 0 1 0 1 0 1 5
1 0 0 0 0 0 1 5

1 0 0 0 1 0 1 6
1 0 0 0 0 0 1 6
0 0 0 0 1 0 1 6
1 0 0 0 0 1 1 6
0 0 1 0 1 0 0 6
1 0 1 0 0 1 0 6
1 0 0 0 1 0 1 6
1 0 0 0 1 0 1 6
0 1 0 1 0 0 1 6
1 0 0 0 1 0 1 6
1 0 0 0 1 0 1 6
1 0 0 0 0 0 1 6
1 0 1 0 1 1 0 6
1 0 1 1 0 0 0 6
1 0 1 0 0 0 0 6
1 0 0 0 0 0 1 6
1 0 1 0 0 1 0 6
1 0 1 0 1 0 0 6
1 0 0 0 1 0 1 6
1 0 0 0 0 0 1 6
1 0 0 1 0 0 1 6
1 0 0 0 0 0 1 6
0 0 1 1 1 0 1 6
0 0 1 0 0 0 1 6
1 0 0 0 1 0 1 6
1 0 0 1 0 0 1 6
1 0 0 0 0 0 1 6
1 0 0 0 1 0 1 6
1 0 0 0 0 1 0 6
0 0 1 0 1 0 1 6
1 0 0 1 1 0 1 6
0 0 1 0 1 0 1 6
1 0 1 0 0 0 0 6
1 0 1 1 0 0 0 6
1 0 0 0 1 0 1 6
0 0 1 1 0 0 1 6
1 0 0 1 0 0 1 6
0 0 0 0 1 0 1 6
1 0 0 1 0 0 1 6
0 0 0 0 1 1 1 6
1 0 0 0 0 0 1 6
1 0 1 1 0 0 0 6
1 0 1 0 1 0 0 6
1 0 1 0 1 0 0 6
0 0 1 0 1 0 0 6
1 0 0 0 1 0 1 6
